timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/01/03 15:39:25.759, NVIDIA GeForce RTX 4090, 75 %, 72 %, 18063 MiB, 263.04 W
2026/01/03 15:39:26.761, NVIDIA GeForce RTX 4090, 82 %, 78 %, 18072 MiB, 280.14 W
2026/01/03 15:39:30.701, NVIDIA GeForce RTX 4090, 77 %, 74 %, 18072 MiB, 264.83 W
2026/01/03 15:39:31.703, NVIDIA GeForce RTX 4090, 95 %, 51 %, 18011 MiB, 275.13 W
2026/01/03 15:39:32.705, NVIDIA GeForce RTX 4090, 78 %, 76 %, 18007 MiB, 254.67 W
2026/01/03 15:39:33.707, NVIDIA GeForce RTX 4090, 74 %, 71 %, 18083 MiB, 272.91 W
2026/01/03 15:39:34.711, NVIDIA GeForce RTX 4090, 86 %, 74 %, 17981 MiB, 272.14 W
2026/01/03 15:39:35.713, NVIDIA GeForce RTX 4090, 87 %, 18 %, 18037 MiB, 260.36 W
2026/01/03 15:39:36.715, NVIDIA GeForce RTX 4090, 91 %, 16 %, 17819 MiB, 255.24 W
2026/01/03 15:39:37.718, NVIDIA GeForce RTX 4090, 79 %, 76 %, 17987 MiB, 288.26 W
2026/01/03 15:39:38.720, NVIDIA GeForce RTX 4090, 71 %, 43 %, 17431 MiB, 262.14 W
2026/01/03 15:39:39.723, NVIDIA GeForce RTX 4090, 95 %, 34 %, 17929 MiB, 306.84 W
2026/01/03 15:39:40.725, NVIDIA GeForce RTX 4090, 67 %, 53 %, 17431 MiB, 266.49 W
2026/01/03 15:39:41.730, NVIDIA GeForce RTX 4090, 86 %, 13 %, 17955 MiB, 273.45 W
2026/01/03 15:39:42.732, NVIDIA GeForce RTX 4090, 82 %, 72 %, 17955 MiB, 295.08 W
2026/01/03 15:39:43.735, NVIDIA GeForce RTX 4090, 73 %, 67 %, 17455 MiB, 265.32 W
2026/01/03 15:39:44.738, NVIDIA GeForce RTX 4090, 94 %, 61 %, 17951 MiB, 317.70 W
2026/01/03 15:39:45.748, NVIDIA GeForce RTX 4090, 85 %, 82 %, 17436 MiB, 278.72 W
2026/01/03 15:39:46.752, NVIDIA GeForce RTX 4090, 66 %, 33 %, 17937 MiB, 273.82 W
2026/01/03 15:39:47.758, NVIDIA GeForce RTX 4090, 88 %, 58 %, 17939 MiB, 313.67 W
2026/01/03 15:39:48.761, NVIDIA GeForce RTX 4090, 74 %, 71 %, 17841 MiB, 259.60 W
2026/01/03 15:39:49.763, NVIDIA GeForce RTX 4090, 95 %, 34 %, 17953 MiB, 293.34 W
2026/01/03 15:39:50.766, NVIDIA GeForce RTX 4090, 92 %, 80 %, 17953 MiB, 299.70 W
2026/01/03 15:39:51.768, NVIDIA GeForce RTX 4090, 79 %, 22 %, 17839 MiB, 266.40 W
2026/01/03 15:39:52.769, NVIDIA GeForce RTX 4090, 97 %, 49 %, 17951 MiB, 321.24 W
2026/01/03 15:39:53.772, NVIDIA GeForce RTX 4090, 95 %, 31 %, 17947 MiB, 280.55 W
2026/01/03 15:39:54.774, NVIDIA GeForce RTX 4090, 94 %, 64 %, 17942 MiB, 305.94 W
2026/01/03 15:39:55.777, NVIDIA GeForce RTX 4090, 95 %, 35 %, 17953 MiB, 284.65 W
2026/01/03 15:39:56.780, NVIDIA GeForce RTX 4090, 90 %, 87 %, 17455 MiB, 274.71 W
2026/01/03 15:39:57.784, NVIDIA GeForce RTX 4090, 95 %, 60 %, 17952 MiB, 312.87 W
2026/01/03 15:39:58.786, NVIDIA GeForce RTX 4090, 90 %, 87 %, 17450 MiB, 273.38 W
2026/01/03 15:39:59.790, NVIDIA GeForce RTX 4090, 96 %, 47 %, 17968 MiB, 314.86 W
2026/01/03 15:40:00.792, NVIDIA GeForce RTX 4090, 75 %, 71 %, 17444 MiB, 267.80 W
2026/01/03 15:40:01.794, NVIDIA GeForce RTX 4090, 93 %, 64 %, 17937 MiB, 320.33 W
2026/01/03 15:40:05.769, NVIDIA GeForce RTX 4090, 79 %, 21 %, 17841 MiB, 273.18 W
2026/01/03 15:40:06.772, NVIDIA GeForce RTX 4090, 91 %, 80 %, 17953 MiB, 312.71 W
2026/01/03 15:40:07.773, NVIDIA GeForce RTX 4090, 78 %, 54 %, 17839 MiB, 262.72 W
2026/01/03 15:40:08.775, NVIDIA GeForce RTX 4090, 95 %, 59 %, 17949 MiB, 320.38 W
2026/01/03 15:40:09.780, NVIDIA GeForce RTX 4090, 79 %, 32 %, 17857 MiB, 268.71 W
2026/01/03 15:40:10.782, NVIDIA GeForce RTX 4090, 97 %, 41 %, 17949 MiB, 319.81 W
2026/01/03 15:40:11.784, NVIDIA GeForce RTX 4090, 78 %, 15 %, 17841 MiB, 261.89 W
2026/01/03 15:40:12.785, NVIDIA GeForce RTX 4090, 96 %, 56 %, 17405 MiB, 324.34 W
2026/01/03 15:40:13.788, NVIDIA GeForce RTX 4090, 95 %, 35 %, 17955 MiB, 284.89 W
2026/01/03 15:40:14.790, NVIDIA GeForce RTX 4090, 94 %, 70 %, 17437 MiB, 304.49 W
2026/01/03 15:40:15.793, NVIDIA GeForce RTX 4090, 97 %, 21 %, 17953 MiB, 271.93 W
2026/01/03 15:40:16.796, NVIDIA GeForce RTX 4090, 92 %, 75 %, 17439 MiB, 306.02 W
2026/01/03 15:40:17.798, NVIDIA GeForce RTX 4090, 98 %, 40 %, 17939 MiB, 303.64 W
2026/01/03 15:40:18.800, NVIDIA GeForce RTX 4090, 90 %, 87 %, 17955 MiB, 291.23 W
2026/01/03 15:40:19.803, NVIDIA GeForce RTX 4090, 97 %, 40 %, 17953 MiB, 293.74 W
2026/01/03 15:40:20.807, NVIDIA GeForce RTX 4090, 81 %, 78 %, 17455 MiB, 282.99 W
2026/01/03 15:40:21.811, NVIDIA GeForce RTX 4090, 95 %, 36 %, 17949 MiB, 289.20 W
2026/01/03 15:40:22.838, NVIDIA GeForce RTX 4090, 77 %, 74 %, 17401 MiB, 286.83 W
2026/01/03 15:40:23.840, NVIDIA GeForce RTX 4090, 96 %, 19 %, 17991 MiB, 264.56 W
2026/01/03 15:40:24.843, NVIDIA GeForce RTX 4090, 95 %, 35 %, 17937 MiB, 307.53 W
2026/01/03 15:40:25.846, NVIDIA GeForce RTX 4090, 96 %, 37 %, 17953 MiB, 270.48 W
